supplier_id,supplier_code,supplier_name,supplier_type,city,state,payment_days,lead_time_days,annual_contract_value_lakh,is_preferred_vendor,years_associated,created_at
66,SUP066,Sharma Wholesale Mart,Manufacturer,Amritsar,Punjab,45,11,58.43,0,18,2026-05-30 01:02:24
67,SUP067,Reliance Retail Trading Co,Manufacturer,Faridabad,Haryana,30,12,53.09,0,21,2026-05-30 01:02:24
68,SUP068,Verma Enterprises,FMCG Brand,Vijayawada,Andhra Pradesh,75,19,679.65,0,2,2026-05-30 01:02:24
69,SUP069,Singh Agro Industries,Distributor,Faridabad,Haryana,45,9,69.48,0,8,2026-05-30 01:02:24
70,SUP070,Hindustan Unilever & Sons,Manufacturer,Jaipur,Rajasthan,30,15,164.27,0,18,2026-05-30 01:02:24
71,SUP071,Amul Supply Chain,Manufacturer,Ghaziabad,Uttar Pradesh,45,16,229.13,1,10,2026-05-30 01:02:24
72,SUP072,Bharat Wholesale Mart,FMCG Brand,Nashik,Maharashtra,60,7,108.42,0,19,2026-05-30 01:02:24
73,SUP073,Hindustan Unilever Agro Industries,FMCG Brand,Patna,Bihar,30,14,22.48,1,7,2026-05-30 01:02:24
74,SUP074,Tata Consumer Agro Industries,Local Vendor,Delhi,Delhi,30,19,128.55,1,1,2026-05-30 01:02:24
75,SUP075,Singh FMCG Ltd,FMCG Brand,Kolkata,West Bengal,30,15,30.03,0,19,2026-05-30 01:02:24
76,SUP076,Patel Industries Pvt Ltd,Wholesaler,Vadodara,Gujarat,45,12,197.96,0,2,2026-05-30 01:02:24
77,SUP077,Shah Distributors,Wholesaler,Gurugram,Haryana,45,19,434.63,1,4,2026-05-30 01:02:24
78,SUP078,Marico Wholesale Mart,Wholesaler,Jaipur,Rajasthan,45,10,385.79,0,14,2026-05-30 01:02:24
79,SUP079,Tata Consumer FMCG Ltd,Direct Importer,Hyderabad,Telangana,60,21,41.02,0,5,2026-05-30 01:02:24
80,SUP080,Suvidha Trading Co,Manufacturer,Vijayawada,Andhra Pradesh,30,5,104.23,1,1,2026-05-30 01:02:24
81,SUP081,Singh Foods Pvt Ltd,Distributor,Thiruvananthapuram,Kerala,45,17,52.36,1,17,2026-05-30 01:02:24
82,SUP082,Parle & Sons,Local Vendor,Jaipur,Rajasthan,30,20,60.96,1,21,2026-05-30 01:02:24
83,SUP083,Mahalakshmi Agro Industries,Manufacturer,Vadodara,Gujarat,30,2,86.25,1,6,2026-05-30 01:02:24
84,SUP084,Gupta Foods Pvt Ltd,Wholesaler,New Delhi,Delhi,60,2,70.63,0,22,2026-05-30 01:02:24
85,SUP085,Shah FMCG Ltd,Local Vendor,Patna,Bihar,15,19,80.97,0,13,2026-05-30 01:02:24
86,SUP086,Tata Consumer Trading Co,Local Vendor,Vijayawada,Andhra Pradesh,60,10,292.70,0,3,2026-05-30 01:02:24
87,SUP087,Shah Wholesale Mart,Wholesaler,Coimbatore,Tamil Nadu,45,7,148.96,1,18,2026-05-30 01:02:24
88,SUP088,Marico Trading Co,Direct Importer,Amritsar,Punjab,45,3,40.66,1,4,2026-05-30 01:02:24
89,SUP089,Dabur Distributors,FMCG Brand,Faridabad,Haryana,45,4,187.72,1,12,2026-05-30 01:02:24
90,SUP090,Hindustan Unilever & Sons,Distributor,Bhopal,Madhya Pradesh,60,6,66.31,0,7,2026-05-30 01:02:24
91,SUP091,Patel Enterprises,Direct Importer,Vijayawada,Andhra Pradesh,90,21,151.08,1,8,2026-05-30 01:02:24
92,SUP092,Bharat Wholesale Mart,Manufacturer,Jaipur,Rajasthan,60,12,139.69,1,15,2026-05-30 01:02:24
93,SUP093,Nestle Trading Co,Local Vendor,Thane,Maharashtra,90,6,163.50,0,4,2026-05-30 01:02:24
94,SUP094,Patel Wholesale Mart,Manufacturer,Visakhapatnam,Andhra Pradesh,60,12,22.74,0,10,2026-05-30 01:02:24
95,SUP095,Marico Trading Co,Direct Importer,Bhopal,Madhya Pradesh,30,13,101.96,1,8,2026-05-30 01:02:24
96,SUP096,Royal Agro Industries,Manufacturer,Vijayawada,Andhra Pradesh,45,4,195.34,0,21,2026-05-30 01:02:24
97,SUP097,Hindustan Unilever FMCG Ltd,Manufacturer,Ludhiana,Punjab,45,14,103.52,0,17,2026-05-30 01:02:24
98,SUP098,Rao Foods Pvt Ltd,Distributor,Visakhapatnam,Andhra Pradesh,30,21,138.57,0,18,2026-05-30 01:02:24
99,SUP099,MTR Wholesale Mart,Wholesaler,Coimbatore,Tamil Nadu,60,20,287.69,1,7,2026-05-30 01:02:24
100,SUP100,Ganesh Trading Co,Direct Importer,Kanpur,Uttar Pradesh,60,17,396.43,0,11,2026-05-30 01:02:24
101,SUP101,Fortune & Sons,Direct Importer,Indore,Madhya Pradesh,30,8,194.48,1,5,2026-05-30 01:02:24
102,SUP102,Amul Trading Co,Wholesaler,Thiruvananthapuram,Kerala,45,7,665.39,0,2,2026-05-30 01:02:24
103,SUP103,Hindustan Industries Pvt Ltd,FMCG Brand,Jaipur,Rajasthan,75,6,85.83,0,21,2026-05-30 01:02:24
104,SUP104,Annapurna Foods Pvt Ltd,Direct Importer,Nagpur,Maharashtra,30,10,165.16,1,10,2026-05-30 01:02:24
105,SUP105,Tata Consumer Enterprises,Distributor,Bhopal,Madhya Pradesh,30,18,77.43,0,6,2026-05-30 01:02:24
106,SUP106,Haldiram FMCG Ltd,Wholesaler,Vadodara,Gujarat,30,16,91.87,0,8,2026-05-30 01:02:24
107,SUP107,Nestle Enterprises,Wholesaler,Vijayawada,Andhra Pradesh,90,17,493.73,1,22,2026-05-30 01:02:24
108,SUP108,Suvidha Industries Pvt Ltd,Manufacturer,New Delhi,Delhi,60,3,190.60,1,16,2026-05-30 01:02:24
109,SUP109,Dabur Enterprises,Local Vendor,Chennai,Tamil Nadu,45,10,95.35,0,11,2026-05-30 01:02:24
110,SUP110,Annapurna Agro Industries,Manufacturer,Thiruvananthapuram,Kerala,90,15,119.25,1,11,2026-05-30 01:02:24
111,SUP111,Patel Wholesale Mart,Direct Importer,Faridabad,Haryana,30,16,163.15,1,10,2026-05-30 01:02:24
112,SUP112,Krishna Agro Industries,Distributor,Surat,Gujarat,45,7,232.98,0,5,2026-05-30 01:02:24
113,SUP113,Hindustan & Sons,Local Vendor,Mumbai,Maharashtra,15,2,302.70,1,9,2026-05-30 01:02:24
114,SUP114,Suvidha Trading Co,Distributor,Patna,Bihar,30,11,108.00,0,22,2026-05-30 01:02:24
115,SUP115,Amul Supply Chain,Wholesaler,Patna,Bihar,75,17,181.91,0,8,2026-05-30 01:02:24
116,SUP116,Bharat Agro Industries,Manufacturer,Hyderabad,Telangana,45,7,72.87,1,9,2026-05-30 01:02:24
117,SUP117,Fortune & Sons,Direct Importer,Mangaluru,Karnataka,30,14,33.72,1,9,2026-05-30 01:02:24
118,SUP118,Hindustan Supply Chain,Wholesaler,Rajkot,Gujarat,90,11,175.20,0,21,2026-05-30 01:02:24
119,SUP119,Sharma Enterprises,Wholesaler,New Delhi,Delhi,60,17,66.04,1,3,2026-05-30 01:02:24
120,SUP120,MTR Foods Pvt Ltd,Manufacturer,Thane,Maharashtra,30,19,51.01,0,5,2026-05-30 01:02:24
121,SUP121,Gupta Enterprises,Distributor,Hyderabad,Telangana,90,6,845.14,0,4,2026-05-30 01:02:24
122,SUP122,Gupta Foods Pvt Ltd,Distributor,Delhi,Delhi,75,14,147.32,0,5,2026-05-30 01:02:24
123,SUP123,Dabur Distributors,Wholesaler,Ahmedabad,Gujarat,30,11,482.47,0,10,2026-05-30 01:02:24
124,SUP124,Tata Consumer Foods Pvt Ltd,Direct Importer,Bhopal,Madhya Pradesh,60,16,31.24,0,4,2026-05-30 01:02:24
125,SUP125,Reddy Industries Pvt Ltd,Distributor,Warangal,Telangana,45,11,336.98,1,18,2026-05-30 01:02:24
126,SUP126,Tata Consumer Enterprises,Manufacturer,Faridabad,Haryana,60,17,157.88,1,20,2026-05-30 01:02:24
127,SUP127,Krishna Foods Pvt Ltd,Direct Importer,Noida,Uttar Pradesh,30,2,748.32,0,1,2026-05-30 01:02:24
128,SUP128,Tata Consumer Wholesale Mart,Local Vendor,Coimbatore,Tamil Nadu,30,4,280.76,0,14,2026-05-30 01:02:24
129,SUP129,Reddy Supply Chain,FMCG Brand,Amritsar,Punjab,45,2,719.00,0,4,2026-05-30 01:02:24
130,SUP130,Suvidha Trading Co,Wholesaler,Mangaluru,Karnataka,60,6,297.93,0,13,2026-05-30 01:02:24
131,SUP131,Kumar Wholesale Mart,Direct Importer,Rajkot,Gujarat,60,16,202.82,1,10,2026-05-30 01:02:24
132,SUP132,Annapurna Enterprises,Wholesaler,Kolkata,West Bengal,60,10,125.96,0,1,2026-05-30 01:02:24
133,SUP133,National Supply Chain,Manufacturer,Visakhapatnam,Andhra Pradesh,45,15,88.93,0,22,2026-05-30 01:02:24
134,SUP134,Bharat Enterprises,FMCG Brand,Kolkata,West Bengal,60,2,114.68,0,21,2026-05-30 01:02:24
135,SUP135,Krishna Agro Industries,Direct Importer,Jaipur,Rajasthan,15,2,236.61,1,15,2026-05-30 01:02:24
136,SUP136,Rao Supply Chain,Direct Importer,Jodhpur,Rajasthan,90,7,176.50,0,19,2026-05-30 01:02:24
137,SUP137,Fortune Industries Pvt Ltd,Distributor,Vijayawada,Andhra Pradesh,45,20,77.18,0,16,2026-05-30 01:02:24
138,SUP138,Aashirvaad Enterprises,Manufacturer,Ludhiana,Punjab,45,4,396.89,0,19,2026-05-30 01:02:24
139,SUP139,Fortune FMCG Ltd,Local Vendor,Thiruvananthapuram,Kerala,60,6,281.72,0,14,2026-05-30 01:02:24
140,SUP140,Agarwal Foods Pvt Ltd,Wholesaler,Mysuru,Karnataka,30,16,181.46,0,10,2026-05-30 01:02:24
141,SUP141,Gupta Agro Industries,Wholesaler,Pune,Maharashtra,45,6,527.39,1,8,2026-05-30 01:02:24
142,SUP142,Patel Trading Co,Direct Importer,Noida,Uttar Pradesh,30,19,24.22,1,17,2026-05-30 01:02:24
143,SUP143,National FMCG Ltd,Local Vendor,Hyderabad,Telangana,60,11,738.81,0,20,2026-05-30 01:02:24
144,SUP144,Patel Foods Pvt Ltd,FMCG Brand,New Delhi,Delhi,15,7,404.63,1,7,2026-05-30 01:02:24
145,SUP145,Nestle Agro Industries,Wholesaler,Bengaluru,Karnataka,60,13,166.80,1,3,2026-05-30 01:02:24
146,SUP146,Patanjali Supply Chain,Wholesaler,Jaipur,Rajasthan,30,17,148.41,0,2,2026-05-30 01:02:24
147,SUP147,Suvidha Trading Co,FMCG Brand,Ludhiana,Punjab,45,5,30.18,0,12,2026-05-30 01:02:24
148,SUP148,Hindustan Unilever Supply Chain,Wholesaler,New Delhi,Delhi,75,12,79.22,0,18,2026-05-30 01:02:24
149,SUP149,Hindustan Unilever Enterprises,Local Vendor,Vijayawada,Andhra Pradesh,60,12,490.29,0,10,2026-05-30 01:02:24
150,SUP150,MTR Trading Co,Manufacturer,Madurai,Tamil Nadu,30,5,30.32,0,16,2026-05-30 01:02:24
151,SUP151,MTR Wholesale Mart,Local Vendor,Bengaluru,Karnataka,30,15,306.18,1,21,2026-05-30 01:02:24
152,SUP152,Amul Supply Chain,Manufacturer,Nagpur,Maharashtra,15,21,29.29,1,11,2026-05-30 01:02:24
153,SUP153,Nestle Supply Chain,Wholesaler,Delhi,Delhi,60,19,782.46,0,2,2026-05-30 01:02:24
154,SUP154,Godrej Foods Pvt Ltd,FMCG Brand,Lucknow,Uttar Pradesh,90,9,150.67,1,7,2026-05-30 01:02:24
155,SUP155,Saffola Industries Pvt Ltd,Wholesaler,Amritsar,Punjab,60,4,65.31,0,4,2026-05-30 01:02:24
156,SUP156,Britannia & Sons,Manufacturer,Ghaziabad,Uttar Pradesh,45,9,93.37,0,14,2026-05-30 01:02:24
157,SUP157,Adani Wilmar Wholesale Mart,Wholesaler,Jaipur,Rajasthan,45,15,814.94,0,7,2026-05-30 01:02:24
158,SUP158,Iyer Distributors,Direct Importer,Kolkata,West Bengal,45,8,149.06,1,13,2026-05-30 01:02:24
159,SUP159,Mahalakshmi FMCG Ltd,Manufacturer,Jodhpur,Rajasthan,30,2,109.05,0,14,2026-05-30 01:02:24
160,SUP160,ITC Foods Pvt Ltd,Wholesaler,Warangal,Telangana,30,12,198.17,1,7,2026-05-30 01:02:24
161,SUP161,Amul Foods Pvt Ltd,Wholesaler,Faridabad,Haryana,90,3,100.55,0,7,2026-05-30 01:02:24
162,SUP162,Bharat Enterprises,Direct Importer,Chennai,Tamil Nadu,60,20,302.58,0,5,2026-05-30 01:02:24
163,SUP163,Hindustan Enterprises,Direct Importer,Thane,Maharashtra,45,18,428.63,1,9,2026-05-30 01:02:24
164,SUP164,Krishna Enterprises,Wholesaler,Indore,Madhya Pradesh,30,7,82.08,0,21,2026-05-30 01:02:24
165,SUP165,National Industries Pvt Ltd,Direct Importer,Nagpur,Maharashtra,90,19,461.10,0,22,2026-05-30 01:02:24
166,SUP166,Amul Foods Pvt Ltd,Distributor,Thiruvananthapuram,Kerala,45,2,688.24,0,7,2026-05-30 01:02:24
167,SUP167,MTR Enterprises,FMCG Brand,Madurai,Tamil Nadu,30,7,192.28,0,1,2026-05-30 01:02:24
168,SUP168,Mahalakshmi Foods Pvt Ltd,Distributor,Nashik,Maharashtra,45,13,44.11,0,5,2026-05-30 01:02:24
169,SUP169,Royal Industries Pvt Ltd,Direct Importer,Surat,Gujarat,30,17,754.07,0,3,2026-05-30 01:02:24
170,SUP170,Mehta Enterprises,Direct Importer,Lucknow,Uttar Pradesh,60,15,338.78,0,2,2026-05-30 01:02:24
171,SUP171,Patel & Sons,Distributor,New Delhi,Delhi,90,9,554.81,0,13,2026-05-30 01:02:24
172,SUP172,Premier Wholesale Mart,Distributor,Visakhapatnam,Andhra Pradesh,90,17,159.53,1,1,2026-05-30 01:02:24
173,SUP173,Shah Distributors,FMCG Brand,Warangal,Telangana,60,8,53.09,1,16,2026-05-30 01:02:24
174,SUP174,Fortune Wholesale Mart,FMCG Brand,Amritsar,Punjab,90,19,131.43,0,6,2026-05-30 01:02:24
175,SUP175,MTR Enterprises,Manufacturer,Warangal,Telangana,45,18,296.34,0,14,2026-05-30 01:02:24
176,SUP176,Godrej Agro Industries,Distributor,Indore,Madhya Pradesh,45,17,289.56,0,2,2026-05-30 01:02:24
177,SUP177,Parle Foods Pvt Ltd,Distributor,New Delhi,Delhi,90,20,729.32,0,15,2026-05-30 01:02:24
178,SUP178,Mahalakshmi Agro Industries,Direct Importer,Patna,Bihar,15,9,122.99,0,20,2026-05-30 01:02:24
179,SUP179,Suvidha Foods Pvt Ltd,Wholesaler,Nagpur,Maharashtra,60,18,13.08,1,21,2026-05-30 01:02:24
180,SUP180,Suvidha Distributors,Direct Importer,Bhopal,Madhya Pradesh,75,12,847.01,0,21,2026-05-30 01:02:24
181,SUP181,Agarwal Distributors,Wholesaler,Jaipur,Rajasthan,30,13,719.58,1,18,2026-05-30 01:02:24
182,SUP182,Aashirvaad Supply Chain,Local Vendor,Patna,Bihar,15,15,89.94,1,21,2026-05-30 01:02:24
183,SUP183,Hindustan Enterprises,FMCG Brand,Mangaluru,Karnataka,30,7,80.30,1,22,2026-05-30 01:02:24
184,SUP184,Verma Industries Pvt Ltd,FMCG Brand,Patna,Bihar,30,3,497.05,0,7,2026-05-30 01:02:24
185,SUP185,Marico Trading Co,Wholesaler,Ghaziabad,Uttar Pradesh,75,5,23.80,0,6,2026-05-30 01:02:24
186,SUP186,Verma Supply Chain,Manufacturer,Chennai,Tamil Nadu,15,15,155.25,0,19,2026-05-30 01:02:24
187,SUP187,Patanjali Supply Chain,Local Vendor,Vadodara,Gujarat,90,10,141.98,1,4,2026-05-30 01:02:24
188,SUP188,Rao Agro Industries,Wholesaler,Hyderabad,Telangana,30,15,174.37,0,16,2026-05-30 01:02:24
189,SUP189,Haldiram Enterprises,Direct Importer,New Delhi,Delhi,60,9,293.96,0,2,2026-05-30 01:02:24
190,SUP190,Annapurna & Sons,Local Vendor,Coimbatore,Tamil Nadu,30,2,102.67,0,19,2026-05-30 01:02:24
191,SUP191,Sharma Wholesale Mart,Wholesaler,Howrah,West Bengal,60,13,187.00,1,1,2026-05-30 01:02:24
192,SUP192,Patel Foods Pvt Ltd,Distributor,Hyderabad,Telangana,90,16,117.68,1,1,2026-05-30 01:02:24
193,SUP193,Dabur Distributors,Wholesaler,Ludhiana,Punjab,45,15,145.66,1,2,2026-05-30 01:02:24
194,SUP194,Mehta Distributors,Direct Importer,Mumbai,Maharashtra,60,17,160.03,0,1,2026-05-30 01:02:24
195,SUP195,Adani Wilmar Wholesale Mart,Local Vendor,Warangal,Telangana,60,20,49.03,0,20,2026-05-30 01:02:24
196,SUP196,Gupta Agro Industries,FMCG Brand,Bengaluru,Karnataka,30,16,498.00,0,12,2026-05-30 01:02:24
197,SUP197,Ganesh Wholesale Mart,Manufacturer,Jodhpur,Rajasthan,15,16,161.33,0,11,2026-05-30 01:02:24
198,SUP198,Patanjali Industries Pvt Ltd,Direct Importer,Mumbai,Maharashtra,90,13,176.95,0,17,2026-05-30 01:02:24
199,SUP199,Marico FMCG Ltd,Manufacturer,Patna,Bihar,45,10,81.38,0,11,2026-05-30 01:02:24
200,SUP200,Shah Agro Industries,FMCG Brand,Patna,Bihar,15,21,172.87,1,14,2026-05-30 01:02:24
201,SUP201,Mahalakshmi Industries Pvt Ltd,Direct Importer,Vijayawada,Andhra Pradesh,60,10,116.87,0,10,2026-05-30 01:02:24
202,SUP202,Hindustan Unilever Enterprises,FMCG Brand,Kochi,Kerala,75,3,50.78,0,8,2026-05-30 01:02:24
203,SUP203,Agarwal & Sons,Local Vendor,Amritsar,Punjab,60,11,429.13,1,19,2026-05-30 01:02:24
204,SUP204,ITC Distributors,Local Vendor,Kochi,Kerala,75,20,330.55,0,11,2026-05-30 01:02:24
205,SUP205,Premier Agro Industries,FMCG Brand,Vijayawada,Andhra Pradesh,45,6,69.83,0,16,2026-05-30 01:02:24
206,SUP206,Iyer Trading Co,FMCG Brand,Delhi,Delhi,30,21,110.55,0,2,2026-05-30 01:02:24
207,SUP207,National Enterprises,Direct Importer,Surat,Gujarat,30,16,86.21,0,12,2026-05-30 01:02:24
208,SUP208,Verma FMCG Ltd,Local Vendor,Madurai,Tamil Nadu,45,4,109.47,0,5,2026-05-30 01:02:24
209,SUP209,Patel Agro Industries,Manufacturer,Jodhpur,Rajasthan,45,4,86.38,0,3,2026-05-30 01:02:24
210,SUP210,Royal Industries Pvt Ltd,Wholesaler,Nagpur,Maharashtra,90,9,64.62,1,5,2026-05-30 01:02:24
211,SUP211,ITC Foods Pvt Ltd,Direct Importer,Mumbai,Maharashtra,15,3,153.75,0,22,2026-05-30 01:02:24
212,SUP212,Verma Wholesale Mart,Distributor,Kanpur,Uttar Pradesh,60,18,270.40,0,21,2026-05-30 01:02:24
213,SUP213,Patanjali & Sons,FMCG Brand,Madurai,Tamil Nadu,30,13,95.93,1,4,2026-05-30 01:02:24
214,SUP214,Suvidha FMCG Ltd,Direct Importer,Howrah,West Bengal,45,10,147.16,0,16,2026-05-30 01:02:24
215,SUP215,Suvidha Wholesale Mart,FMCG Brand,Coimbatore,Tamil Nadu,90,5,72.01,0,17,2026-05-30 01:02:24
216,SUP216,MTR Agro Industries,FMCG Brand,Thiruvananthapuram,Kerala,45,10,122.74,0,9,2026-05-30 01:02:24
