category_id,category_name,parent_category_id,level,created_at
104,Milk Chocolate,34,3,2026-05-30 01:02:24
105,Dark Chocolate,34,3,2026-05-30 01:02:24
106,Cabbage,35,3,2026-05-30 01:02:24
107,Chocolate Ice Cream,23,3,2026-05-30 01:02:24
108,Urad Dal,28,3,2026-05-30 01:02:24
109,Floor Cleaner,36,3,2026-05-30 01:02:24
110,Cookies,24,3,2026-05-30 01:02:24
111,White Bread,22,3,2026-05-30 01:02:24
112,Grapes,37,3,2026-05-30 01:02:24
113,Fish,38,3,2026-05-30 01:02:24
114,Chilli Powder,30,3,2026-05-30 01:02:24
115,Hand Wash,27,3,2026-05-30 01:02:24
116,Chewing Gum,20,3,2026-05-30 01:02:24
117,Green Tea,39,3,2026-05-30 01:02:24
118,Bell Pepper,40,3,2026-05-30 01:02:24
119,Dishwash Bar,25,3,2026-05-30 01:02:24
120,Mosquito Spray,41,3,2026-05-30 01:02:24
121,Mouthwash,16,3,2026-05-30 01:02:24
122,Energy Drink,29,3,2026-05-30 01:02:24
123,Toffees,20,3,2026-05-30 01:02:24
124,Mustard Oil,42,3,2026-05-30 01:02:24
125,Potato Chips,21,3,2026-05-30 01:02:24
126,Body Wash,27,3,2026-05-30 01:02:24
127,Chicken,38,3,2026-05-30 01:02:24
128,Cheese Block,43,3,2026-05-30 01:02:24
129,Maida,19,3,2026-05-30 01:02:24
130,Detergent Powder,31,3,2026-05-30 01:02:24
131,Hair Oil,32,3,2026-05-30 01:02:24
132,Sona Masoori Rice,44,3,2026-05-30 01:02:24
133,Vanilla Ice Cream,23,3,2026-05-30 01:02:24
134,Digestive,24,3,2026-05-30 01:02:24
135,Regular Eggs,45,3,2026-05-30 01:02:24
136,Country Eggs,45,3,2026-05-30 01:02:24
137,Potato,35,3,2026-05-30 01:02:24
138,Toilet Cleaner,36,3,2026-05-30 01:02:24
139,Paneer,43,3,2026-05-30 01:02:24
140,Masala Tea,39,3,2026-05-30 01:02:24
141,Spray Deodorant,46,3,2026-05-30 01:02:24
142,Basmati Rice,44,3,2026-05-30 01:02:24
143,Mixed Fruit Juice,47,3,2026-05-30 01:02:24
144,Brown Eggs,45,3,2026-05-30 01:02:24
145,Apple Juice,47,3,2026-05-30 01:02:24
146,Zucchini,40,3,2026-05-30 01:02:24
147,Roll-on Deodorant,46,3,2026-05-30 01:02:24
148,Instant Coffee,48,3,2026-05-30 01:02:24
149,Cola,29,3,2026-05-30 01:02:24
150,Air Freshener Gel,49,3,2026-05-30 01:02:24
151,Brown Rice,44,3,2026-05-30 01:02:24
152,Mutton,38,3,2026-05-30 01:02:24
153,Banana,37,3,2026-05-30 01:02:24
154,Lemon Drink,29,3,2026-05-30 01:02:24
155,Chana Dal,28,3,2026-05-30 01:02:24
156,Toor Dal,28,3,2026-05-30 01:02:24
157,Orange,37,3,2026-05-30 01:02:24
158,Broccoli,40,3,2026-05-30 01:02:24
159,Veg Nuggets,26,3,2026-05-30 01:02:24
160,Besan,19,3,2026-05-30 01:02:24
161,Black Tea,39,3,2026-05-30 01:02:24
162,Sugar,33,3,2026-05-30 01:02:24
163,Tomato,35,3,2026-05-30 01:02:24
164,Cream Biscuits,24,3,2026-05-30 01:02:24
165,Air Freshener Spray,49,3,2026-05-30 01:02:24
166,Onion,35,3,2026-05-30 01:02:24
167,Chicken Nuggets,26,3,2026-05-30 01:02:24
168,Wafer Chocolate,34,3,2026-05-30 01:02:24
169,Butter,43,3,2026-05-30 01:02:24
170,Moong Dal,28,3,2026-05-30 01:02:24
171,Olive Oil,42,3,2026-05-30 01:02:24
172,Apple,37,3,2026-05-30 01:02:24
173,Mosquito Liquid,41,3,2026-05-30 01:02:24
174,Coriander Powder,30,3,2026-05-30 01:02:24
175,Buns,22,3,2026-05-30 01:02:24
176,Detergent Liquid,31,3,2026-05-30 01:02:24
177,Glass Cleaner,36,3,2026-05-30 01:02:24
178,Shampoo,32,3,2026-05-30 01:02:24
179,Rock Salt,33,3,2026-05-30 01:02:24
180,Cold Coffee,48,3,2026-05-30 01:02:24
181,Mosquito Coil,41,3,2026-05-30 01:02:24
182,Whole Wheat Atta,19,3,2026-05-30 01:02:24
183,Cheese Slices,43,3,2026-05-30 01:02:24
184,Body Lotion,17,3,2026-05-30 01:02:24
185,Mineral Water,50,3,2026-05-30 01:02:24
186,Orange Juice,47,3,2026-05-30 01:02:24
187,Mango Juice,47,3,2026-05-30 01:02:24
188,Mixture,21,3,2026-05-30 01:02:24
189,Cauliflower,35,3,2026-05-30 01:02:24
190,Garam Masala,30,3,2026-05-30 01:02:24
191,French Fries,26,3,2026-05-30 01:02:24
192,Mango,37,3,2026-05-30 01:02:24
193,Curd,18,3,2026-05-30 01:02:24
194,Groundnut Oil,42,3,2026-05-30 01:02:24
195,Sunflower Oil,42,3,2026-05-30 01:02:24
196,Filter Coffee,48,3,2026-05-30 01:02:24
